Description,Trajectory,States
mdp_deterministic_gridworld_feasible_a_automaton_orderedDFA12,"[((1, ('0', '0')),), (1, 0.0, (2, ('0', '0'))), (2, 0.0, (6, ('0', '0'))), (2, 0.0, (10, ('0', '0'))), (2, 0.0, (14, ('0', '0'))), (3, 0.0, (13, ('0', '0'))), (3, 0.0, (12, ('0', '0'))), (0, 0.0, (8, ('0', '0'))), (0, 0.0, (4, ('1', '0'))), ('stop', 2, 'v_sink')]","[1, 2, 6, 10, 14, 13, 12, 8, 4, 'v']"
mdp_deterministic_gridworld_feasible_a_automaton_orderedDFA31,"[((1, ('0', '0')),), (1, 0.0, (2, ('0', '0'))), (1, 0.0, (3, ('0', '0'))), (2, 0.0, (7, ('0', '0'))), (2, 0.0, (11, ('1', '0'))), ('stop', 2, 'v_sink')]","[1, 2, 3, 7, 11, 'v']"
mdp_deterministic_gridworld_feasible_a_automaton_orderedDFA312,"[((1, (('0', '0'), '0')),), (1, 0.0, (2, (('0', '0'), '0'))), (2, 0.0, (6, (('0', '0'), '0'))), (2, 0.0, (10, (('0', '0'), '0'))), (2, 0.0, (14, (('0', '0'), '0'))), (3, 0.0, (13, (('0', '0'), '0'))), (3, 0.0, (12, (('0', '0'), '0'))), (0, 0.0, (8, (('0', '0'), '0'))), (0, 0.0, (4, (('2', '1'), '0'))), ('stop', 2, 'v_sink')]","[1, 2, 6, 10, 14, 13, 12, 8, 4, 'v']"
mdp_deterministic_gridworld_feasible_a_automaton_orderedDFA312,"[((1, (('0', '0'), '0')),), (1, 0.0, (2, (('0', '0'), '0'))), (2, 0.0, (6, (('0', '0'), '0'))), (2, 0.0, (10, (('0', '0'), '0'))), (2, 0.0, (14, (('0', '0'), '0'))), (3, 0.0, (13, (('0', '0'), '0'))), (3, 0.0, (12, (('0', '0'), '0'))), (0, 0.0, (8, (('0', '0'), '0'))), (0, 0.0, (4, (('2', '1'), '0'))), ('stop', 2, 'v_sink')]","[1, 2, 6, 10, 14, 13, 12, 8, 4, 'v']"
mdp_deterministic_gridworld_feasible_a_automaton_orderedDFA32,"[((1, ('0', '0')),), (1, 0.0, (2, ('0', '0'))), (1, 0.0, (3, ('0', '0'))), (2, 0.0, (7, ('0', '0'))), (2, 0.0, (11, ('1', '1'))), ('stop', 2, 'v_sink')]","[1, 2, 3, 7, 11, 'v']"
mdp_deterministic_gridworld_feasible_a_automaton_orderedDFA312,"[((1, (('0', '0'), '0')),), (1, 0.0, (2, (('0', '0'), '0'))), (2, 0.0, (6, (('0', '0'), '0'))), (2, 0.0, (10, (('0', '0'), '0'))), (2, 0.0, (14, (('0', '0'), '0'))), (3, 0.0, (13, (('0', '0'), '0'))), (3, 0.0, (12, (('0', '0'), '0'))), (0, 0.0, (8, (('0', '0'), '0'))), (0, 0.0, (4, (('2', '1'), '0'))), ('stop', 2, 'v_sink')]","[1, 2, 6, 10, 14, 13, 12, 8, 4, 'v']"
mdp_deterministic_gridworld_feasible_a_automaton_orderedDFA312,"[((1, (('0', '0'), '0')),), (1, 0.0, (2, (('0', '0'), '0'))), (2, 0.0, (6, (('0', '0'), '0'))), (2, 0.0, (10, (('0', '0'), '0'))), (2, 0.0, (14, (('0', '0'), '0'))), (3, 0.0, (13, (('0', '0'), '0'))), (3, 0.0, (12, (('0', '0'), '0'))), (0, 0.0, (8, (('0', '0'), '0'))), (0, 0.0, (4, (('2', '1'), '0'))), ('stop', 2, 'v_sink')]","[1, 2, 6, 10, 14, 13, 12, 8, 4, 'v']"
mdp_deterministic_gridworld_feasible_a_automaton_orderedDFA312,"[((1, (('0', '0'), '0')),), (1, 0.0, (2, (('0', '0'), '0'))), (1, 0.0, (3, (('0', '0'), '0'))), (2, 0.0, (7, (('0', '0'), '0'))), (2, 0.0, (11, (('1', '0'), '1'))), ('stop', 2, 'v_sink')]","[1, 2, 3, 7, 11, 'v']"
mdp_deterministic_gridworld_feasible_a_automaton_orderedDFA312,"[((1, (('0', '0'), '0')),), (1, 0.0, (2, (('0', '0'), '0'))), (2, 0.0, (6, (('0', '0'), '0'))), (2, 0.0, (10, (('0', '0'), '0'))), (2, 0.0, (14, (('0', '0'), '0'))), (3, 0.0, (13, (('0', '0'), '0'))), (3, 0.0, (12, (('0', '0'), '0'))), (0, 0.0, (8, (('0', '0'), '0'))), (0, 0.0, (4, (('2', '1'), '0'))), ('stop', 2, 'v_sink')]","[1, 2, 6, 10, 14, 13, 12, 8, 4, 'v']"
mdp_deterministic_gridworld_feasible_a_automaton_orderedDFA312,"[((1, (('0', '0'), '0')),), (1, 0.0, (2, (('0', '0'), '0'))), (2, 0.0, (6, (('0', '0'), '0'))), (2, 0.0, (10, (('0', '0'), '0'))), (2, 0.0, (14, (('0', '0'), '0'))), (3, 0.0, (13, (('0', '0'), '0'))), (3, 0.0, (12, (('0', '0'), '0'))), (0, 0.0, (8, (('0', '0'), '0'))), (0, 0.0, (4, (('2', '1'), '0'))), ('stop', 2, 'v_sink')]","[1, 2, 6, 10, 14, 13, 12, 8, 4, 'v']"
mdp_deterministic_gridworld_feasible_a_automaton_orderedDFA312,"[((1, (('0', '0'), '0')),), (1, 0.0, (2, (('0', '0'), '0'))), (1, 0.0, (3, (('0', '0'), '0'))), (2, 0.0, (7, (('0', '0'), '0'))), (2, 0.0, (11, (('1', '0'), '1'))), ('stop', 2, 'v_sink')]","[1, 2, 3, 7, 11, 'v']"
mdp_deterministic_gridworld_feasible_a_automaton_orderedDFA312,"[((1, (('0', '0'), '0')),), (1, 0.0, (2, (('0', '0'), '0'))), (2, 0.0, (6, (('0', '0'), '0'))), (2, 0.0, (10, (('0', '0'), '0'))), (2, 0.0, (14, (('0', '0'), '0'))), (3, 0.0, (13, (('0', '0'), '0'))), (3, 0.0, (12, (('0', '0'), '0'))), (0, 0.0, (8, (('0', '0'), '0'))), (0, 0.0, (4, (('2', '1'), '0'))), ('stop', 2, 'v_sink')]","[1, 2, 6, 10, 14, 13, 12, 8, 4, 'v']"
mdp_deterministic_gridworld_feasible_a_automaton_orderedDFA312,"[((1, (('0', '0'), '0')),), (1, 0.0, (2, (('0', '0'), '0'))), (2, 0.0, (6, (('0', '0'), '0'))), (2, 0.0, (10, (('0', '0'), '0'))), (2, 0.0, (14, (('0', '0'), '0'))), (3, 0.0, (13, (('0', '0'), '0'))), (3, 0.0, (12, (('0', '0'), '0'))), (0, 0.0, (8, (('0', '0'), '0'))), (0, 0.0, (4, (('2', '1'), '0'))), ('stop', 2, 'v_sink')]","[1, 2, 6, 10, 14, 13, 12, 8, 4, 'v']"
mdp_deterministic_gridworld_feasible_a_automaton_orderedDFA312,"[((1, (('0', '0'), '0')),), (1, 0.0, (2, (('0', '0'), '0'))), (1, 0.0, (3, (('0', '0'), '0'))), (2, 0.0, (7, (('0', '0'), '0'))), (2, 0.0, (11, (('1', '0'), '1'))), ('stop', 2, 'v_sink')]","[1, 2, 3, 7, 11, 'v']"
mdp_deterministic_gridworld_feasible_a_automaton_orderedDFA312,"[((1, (('0', '0'), '0')),), (1, 0.0, (2, (('0', '0'), '0'))), (2, 0.0, (6, (('0', '0'), '0'))), (2, 0.0, (10, (('0', '0'), '0'))), (2, 0.0, (14, (('0', '0'), '0'))), (3, 0.0, (13, (('0', '0'), '0'))), (3, 0.0, (12, (('0', '0'), '0'))), (0, 0.0, (8, (('0', '0'), '0'))), (0, 0.0, (4, (('2', '1'), '0'))), ('stop', 2, 'v_sink')]","[1, 2, 6, 10, 14, 13, 12, 8, 4, 'v']"
mdp_deterministic_gridworld_feasible_a_automaton_orderedDFA312,"[((1, (('0', '0'), '0')),), (1, 0.0, (2, (('0', '0'), '0'))), (2, 0.0, (6, (('0', '0'), '0'))), (2, 0.0, (10, (('0', '0'), '0'))), (2, 0.0, (14, (('0', '0'), '0'))), (3, 0.0, (13, (('0', '0'), '0'))), (3, 0.0, (12, (('0', '0'), '0'))), (0, 0.0, (8, (('0', '0'), '0'))), (0, 0.0, (4, (('2', '1'), '0'))), ('stop', 2, 'v_sink')]","[1, 2, 6, 10, 14, 13, 12, 8, 4, 'v']"
mdp_deterministic_gridworld_feasible_a_automaton_orderedDFA312,"[((1, (('0', '0'), '0')),), (1, 0.0, (2, (('0', '0'), '0'))), (1, 0.0, (3, (('0', '0'), '0'))), (2, 0.0, (7, (('0', '0'), '0'))), (2, 0.0, (11, (('1', '0'), '1'))), ('stop', 2, 'v_sink')]","[1, 2, 3, 7, 11, 'v']"
mdp_deterministic_gridworld_feasible_a_automaton_orderedDFA312,"[((1, (('0', '0'), '0')),), (1, 0.0, (2, (('0', '0'), '0'))), (1, 0.0, (3, (('0', '0'), '0'))), (2, 0.0, (7, (('0', '0'), '0'))), (2, 0.0, (11, (('1', '0'), '1'))), ('stop', 2, 'v_sink')]","[1, 2, 3, 7, 11, 'v']"
mdp_deterministic_gridworld_feasible_a_automaton_orderedDFA312,"[((1, (('0', '0'), '0')),), (1, 0.0, (2, (('0', '0'), '0'))), (1, 0.0, (3, (('0', '0'), '0'))), (2, 0.0, (7, (('0', '0'), '0'))), (2, 0.0, (11, (('1', '0'), '1'))), ('stop', 2, 'v_sink')]","[1, 2, 3, 7, 11, 'v']"
mdp_deterministic_gridworld_feasible_a_automaton_orderedDFA312,"[((1, (('0', '0'), '0')),), (1, 0.0, (2, (('0', '0'), '0'))), (2, 0.0, (6, (('0', '0'), '0'))), (2, 0.0, (10, (('0', '0'), '0'))), (2, 0.0, (14, (('0', '0'), '0'))), (3, 0.0, (13, (('0', '0'), '0'))), (3, 0.0, (12, (('0', '0'), '0'))), (0, 0.0, (8, (('0', '0'), '0'))), (0, 0.0, (4, (('2', '1'), '0'))), ('stop', 2, 'v_sink')]","[1, 2, 6, 10, 14, 13, 12, 8, 4, 'v']"
mdp_deterministic_gridworld_feasible_a_automaton_orderedDFA312,"[((1, (('0', '0'), '0')),), (1, 0.0, (2, (('0', '0'), '0'))), (2, 0.0, (6, (('0', '0'), '0'))), (2, 0.0, (10, (('0', '0'), '0'))), (2, 0.0, (14, (('0', '0'), '0'))), (3, 0.0, (13, (('0', '0'), '0'))), (3, 0.0, (12, (('0', '0'), '0'))), (0, 0.0, (8, (('0', '0'), '0'))), (0, 0.0, (4, (('2', '1'), '0'))), ('stop', 2, 'v_sink')]","[1, 2, 6, 10, 14, 13, 12, 8, 4, 'v']"
mdp_deterministic_gridworld_feasible_a_automaton_orderedDFA312,"[((1, (('0', '0'), '0')),), (1, 0.0, (2, (('0', '0'), '0'))), (1, 0.0, (3, (('0', '0'), '0'))), (2, 0.0, (7, (('0', '0'), '0'))), (2, 0.0, (11, (('1', '0'), '1'))), ('stop', 2, 'v_sink')]","[1, 2, 3, 7, 11, 'v']"
mdp_deterministic_gridworld_feasible_a_automaton_orderedDFA312,"[((1, (('0', '0'), '0')),), (1, 0.0, (2, (('0', '0'), '0'))), (2, 0.0, (6, (('0', '0'), '0'))), (2, 0.0, (10, (('0', '0'), '0'))), (2, 0.0, (14, (('0', '0'), '0'))), (3, 0.0, (13, (('0', '0'), '0'))), (3, 0.0, (12, (('0', '0'), '0'))), (0, 0.0, (8, (('0', '0'), '0'))), (0, 0.0, (4, (('2', '1'), '0'))), ('stop', 2, 'v_sink')]","[1, 2, 6, 10, 14, 13, 12, 8, 4, 'v']"
mdp_deterministic_gridworld_feasible_a_automaton_orderedDFA312,"[((1, (('0', '0'), '0')),), (1, 0.0, (2, (('0', '0'), '0'))), (1, 0.0, (3, (('0', '0'), '0'))), (2, 0.0, (7, (('0', '0'), '0'))), (2, 0.0, (11, (('1', '0'), '1'))), ('stop', 2, 'v_sink')]","[1, 2, 3, 7, 11, 'v']"
mdp_deterministic_gridworld_feasible_a_automaton_orderedDFA312,"[((1, (('0', '0'), '0')),), (1, 0.0, (2, (('0', '0'), '0'))), (1, 0.0, (3, (('0', '0'), '0'))), (2, 0.0, (7, (('0', '0'), '0'))), (2, 0.0, (11, (('1', '0'), '1'))), ('stop', 2, 'v_sink')]","[1, 2, 3, 7, 11, 'v']"
mdp_deterministic_gridworld_feasible_a_automaton_conj_wdfa,"[((1, ('0', '0')),), (1, 0.0, (2, ('0', '0'))), (1, 0.0, (3, ('0', '0'))), (2, 0.0, (7, ('0', '0'))), (2, 0.0, (11, ('1', '1'))), ('stop', 1, 'v_sink')]","[1, 2, 3, 7, 11, 'v']"
mdp_deterministic_gridworld_feasible_a_automaton_conj_wdfa,"[((1, ('0', '0')),), (1, 0.0, (2, ('0', '0'))), (1, 0.0, (3, ('0', '0'))), (2, 0.0, (7, ('0', '0'))), (2, 0.0, (11, ('1', '0'))), (3, 0.0, (10, ('1', '0'))), (2, 0.0, (14, ('1', '0'))), (3, 0.0, (13, ('1', '0'))), (3, 0.0, (12, ('1', '0'))), (0, 0.0, (8, ('1', '0'))), (0, 0.0, (4, ('1', '1'))), ('stop', 1, 'v_sink')]","[1, 2, 3, 7, 11, 10, 14, 13, 12, 8, 4, 'v']"
mdp_deterministic_gridworld_feasible_a_automaton_disj_wdfa,"[((1, ('0', '0')),), (1, 0.0, (2, ('0', '0'))), (1, 0.0, (3, ('0', '0'))), (2, 0.0, (7, ('0', '0'))), (2, 0.0, (11, ('1', '0'))), ('stop', 1, 'v_sink')]","[1, 2, 3, 7, 11, 'v']"
mdp_deterministic_gridworld_feasible_a_automaton_disj_wdfa31,"[((1, ('0', '0')),), (1, 0.0, (2, ('0', '0'))), (1, 0.0, (3, ('0', '0'))), (2, 0.0, (7, ('0', '0'))), (2, 0.0, (11, ('1', '0'))), ('stop', 1, 'v_sink')]","[1, 2, 3, 7, 11, 'v']"
mdp_deterministic_gridworld_feasible_a_automaton_disj_wdfa31,"[((1, ('0', '0')),), (1, 0.0, (2, ('0', '0'))), (1, 0.0, (3, ('0', '0'))), (2, 0.0, (7, ('0', '0'))), (2, 0.0, (11, ('1', '0'))), ('stop', 1, 'v_sink')]","[1, 2, 3, 7, 11, 'v']"
mdp_deterministic_gridworld_feasible_a_automaton_conj_wdfa3112,"[((1, (('0', '0'), ('0', '0'))),), (1, 0.0, (2, (('0', '0'), ('0', '0')))), (1, 0.0, (3, (('0', '0'), ('0', '0')))), (2, 0.0, (7, (('0', '0'), ('0', '0')))), (2, 0.0, (11, (('1', '0'), ('0', '1')))), ('stop', 2, 'v_sink')]","[1, 2, 3, 7, 11, 'v']"
mdp_deterministic_gridworld_feasible_a_automaton_conj_wdfa3112,"[((1, (('0', '0'), ('0', '0'))),), (1, 0.0, (2, (('0', '0'), ('0', '0')))), (1, 0.0, (3, (('0', '0'), ('0', '0')))), (2, 0.0, (7, (('0', '0'), ('0', '0')))), (2, 0.0, (11, (('1', '0'), ('0', '1')))), ('stop', 2, 'v_sink')]","[1, 2, 3, 7, 11, 'v']"
mdp_deterministic_gridworld_feasible_a_automaton_conj_wdfa3112,"[((1, (('0', '0'), ('0', '0'))),), (1, 0.0, (2, (('0', '0'), ('0', '0')))), (1, 0.0, (3, (('0', '0'), ('0', '0')))), (2, 0.0, (7, (('0', '0'), ('0', '0')))), (2, 0.0, (11, (('1', '0'), ('0', '1')))), ('stop', 2, 'v_sink')]","[1, 2, 3, 7, 11, 'v']"
mdp_deterministic_gridworld_feasible_a_automaton_conj_wdfa3112,"[((1, (('0', '0'), ('0', '0'))),), (1, 0.0, (2, (('0', '0'), ('0', '0')))), (1, 0.0, (3, (('0', '0'), ('0', '0')))), (2, 0.0, (7, (('0', '0'), ('0', '0')))), (2, 0.0, (11, (('1', '0'), ('0', '1')))), ('stop', 2, 'v_sink')]","[1, 2, 3, 7, 11, 'v']"
mdp_deterministic_gridworld_feasible_a_automaton_conj_wdfa3112,"[((1, (('0', '0'), ('0', '0'))),), (1, 0.0, (2, (('0', '0'), ('0', '0')))), (1, 0.0, (3, (('0', '0'), ('0', '0')))), (2, 0.0, (7, (('0', '0'), ('0', '0')))), (2, 0.0, (11, (('1', '0'), ('0', '1')))), ('stop', 8, 'v_sink')]","[1, 2, 3, 7, 11, 'v']"
mdp_deterministic_gridworld_feasible_a_automaton_conj_wdfa3112,"[((1, (('0', '0'), ('0', '0'))),), (1, 0.0, (2, (('0', '0'), ('0', '0')))), (1, 0.0, (3, (('0', '0'), ('0', '0')))), (2, 0.0, (7, (('0', '0'), ('0', '0')))), (2, 0.0, (11, (('1', '0'), ('0', '1')))), ('stop', 3, 'v_sink')]","[1, 2, 3, 7, 11, 'v']"
mdp_deterministic_gridworld_feasible_a_automaton_conj_wdfa3112,"[((1, (('0', '0'), ('0', '0'))),), (1, 0.0, (2, (('0', '0'), ('0', '0')))), (1, 0.0, (3, (('0', '0'), ('0', '0')))), (2, 0.0, (7, (('0', '0'), ('0', '0')))), (2, 0.0, (11, (('1', '0'), ('0', '1')))), ('stop', 3, 'v_sink')]","[1, 2, 3, 7, 11, 'v']"
mdp_deterministic_gridworld_feasible_a_automaton_conj_wdfa3112,"[((1, (('0', '0'), ('0', '0'))),), (1, 0.0, (2, (('0', '0'), ('0', '0')))), (1, 0.0, (3, (('0', '0'), ('0', '0')))), (2, 0.0, (7, (('0', '0'), ('0', '0')))), (2, 0.0, (11, (('1', '0'), ('0', '1')))), ('stop', 3, 'v_sink')]","[1, 2, 3, 7, 11, 'v']"
mdp_deterministic_gridworld_feasible_a_automaton_conj_wdfa3112,"[((1, (('0', '0'), ('0', '0'))),), (1, 0.0, (2, (('0', '0'), ('0', '0')))), (1, 0.0, (3, (('0', '0'), ('0', '0')))), (2, 0.0, (7, (('0', '0'), ('0', '0')))), (2, 0.0, (11, (('1', '0'), ('0', '1')))), ('stop', 3, 'v_sink')]","[1, 2, 3, 7, 11, 'v']"
mdp_deterministic_gridworld_feasible_a_automaton_conj_wdfa3112,"[((1, (('0', '0'), ('0', '0'))),), (1, 0.0, (2, (('0', '0'), ('0', '0')))), (1, 0.0, (3, (('0', '0'), ('0', '0')))), (2, 0.0, (7, (('0', '0'), ('0', '0')))), (2, 0.0, (11, (('1', '0'), ('0', '1')))), ('stop', 3, 'v_sink')]","[1, 2, 3, 7, 11, 'v']"
mdp_deterministic_gridworld_feasible_a_automaton_conj_wdfa3112,"[((1, (('0', '0'), ('0', '0'))),), (1, 0.0, (2, (('0', '0'), ('0', '0')))), (1, 0.0, (3, (('0', '0'), ('0', '0')))), (2, 0.0, (7, (('0', '0'), ('0', '0')))), (2, 0.0, (11, (('1', '0'), ('0', '1')))), ('stop', 3, 'v_sink')]","[1, 2, 3, 7, 11, 'v']"
mdp_deterministic_gridworld_feasible_a_automaton_disj_wdfa3112,"[((1, (('0', '0'), ('0', '0'))),), (1, 0.0, (2, (('0', '0'), ('0', '0')))), (1, 0.0, (3, (('0', '0'), ('0', '0')))), (2, 0.0, (7, (('0', '0'), ('0', '0')))), (2, 0.0, (11, (('1', '0'), ('0', '1')))), ('stop', 4, 'v_sink')]","[1, 2, 3, 7, 11, 'v']"
mdp_deterministic_gridworld_feasible_a_automaton_disj_wdfa3112,"[((1, (('0', '0'), ('0', '0'))),), (1, 0.0, (2, (('0', '0'), ('0', '0')))), (1, 0.0, (3, (('0', '0'), ('0', '0')))), (2, 0.0, (7, (('0', '0'), ('0', '0')))), (2, 0.0, (11, (('1', '0'), ('0', '1')))), ('stop', 4, 'v_sink')]","[1, 2, 3, 7, 11, 'v']"
mdp_deterministic_gridworld_feasible_a_automaton_conj_wdfa3112,"[((1, (('0', '0'), ('0', '0'))),), (1, 0.0, (2, (('0', '0'), ('0', '0')))), (1, 0.0, (3, (('0', '0'), ('0', '0')))), (2, 0.0, (7, (('0', '0'), ('0', '0')))), (2, 0.0, (11, (('1', '0'), ('0', '1')))), ('stop', 3, 'v_sink')]","[1, 2, 3, 7, 11, 'v']"
mdp_deterministic_gridworld_feasible_a_automaton_conj_wdfa3112,"[((1, (('0', '0'), ('0', '0'))),), (1, 0.0, (2, (('0', '0'), ('0', '0')))), (1, 0.0, (3, (('0', '0'), ('0', '0')))), (2, 0.0, (7, (('0', '0'), ('0', '0')))), (2, 0.0, (11, (('1', '0'), ('0', '1')))), ('stop', 3, 'v_sink')]","[1, 2, 3, 7, 11, 'v']"
mdp_deterministic_gridworld_feasible_a_automaton_conj_wdfa3112,"[((1, (('0', '0'), ('0', '0'))),), (1, 0.0, (2, (('0', '0'), ('0', '0')))), (1, 0.0, (3, (('0', '0'), ('0', '0')))), (2, 0.0, (7, (('0', '0'), ('0', '0')))), (2, 0.0, (11, (('1', '0'), ('0', '1')))), ('stop', 3, 'v_sink')]","[1, 2, 3, 7, 11, 'v']"
mdp_deterministic_gridworld_feasible_a_automaton_conj_wdfa3112,"[((1, (('0', '0'), ('0', '0'))),), (1, 0.0, (2, (('0', '0'), ('0', '0')))), (1, 0.0, (3, (('0', '0'), ('0', '0')))), (2, 0.0, (7, (('0', '0'), ('0', '0')))), (2, 0.0, (11, (('1', '0'), ('0', '1')))), ('stop', 3, 'v_sink')]","[1, 2, 3, 7, 11, 'v']"
mdp_deterministic_gridworld_feasible_a_automaton_conj_wdfa3112,"[((1, (('0', '0'), ('0', '0'))),), (1, 0.0, (2, (('0', '0'), ('0', '0')))), (1, 0.0, (3, (('0', '0'), ('0', '0')))), (2, 0.0, (7, (('0', '0'), ('0', '0')))), (2, 0.0, (11, (('1', '0'), ('0', '1')))), ('stop', 3, 'v_sink')]","[1, 2, 3, 7, 11, 'v']"
mdp_deterministic_gridworld_feasible_a_automaton_conj_wdfa3112,"[((1, (('0', '0'), ('0', '0'))),), (1, 0.0, (2, (('0', '0'), ('0', '0')))), (1, 0.0, (3, (('0', '0'), ('0', '0')))), (2, 0.0, (7, (('0', '0'), ('0', '0')))), (2, 0.0, (11, (('1', '0'), ('0', '1')))), ('stop', 3, 'v_sink')]","[1, 2, 3, 7, 11, 'v']"
mdp_deterministic_gridworld_feasible_a_automaton_conj_wdfa3112,"[((1, (('0', '0'), ('0', '0'))),), (1, 0.0, (2, (('0', '0'), ('0', '0')))), (1, 0.0, (3, (('0', '0'), ('0', '0')))), (2, 0.0, (7, (('0', '0'), ('0', '0')))), (2, 0.0, (11, (('1', '0'), ('0', '1')))), ('stop', 3, 'v_sink')]","[1, 2, 3, 7, 11, 'v']"
mdp_deterministic_gridworld_feasible_a_automaton_conj_wdfa3112,"[((1, (('0', '0'), ('0', '0'))),), (1, 0.0, (2, (('0', '0'), ('0', '0')))), (1, 0.0, (3, (('0', '0'), ('0', '0')))), (2, 0.0, (7, (('0', '0'), ('0', '0')))), (2, 0.0, (11, (('1', '0'), ('0', '1')))), ('stop', 3, 'v_sink')]","[1, 2, 3, 7, 11, 'v']"
